source,author,title,description,category,coverage,url
CNN,Alli Rosenbloom,Taylor Swift and Jack Antonoff celebrate 'Cruel Summer' hitting No. 1 four years after initial release,"Taylor Swift's latest milestone feels like a complete ""fever dream."" On Monday, the singer and her collaborator Jack Antonoff celebrated their co-written song ""Cruel Summer,"" from the singer's 2019 album ""Lover,"" hitting No. 1 on Billboard's Hot 100 chart.",Achievement,,https://www.cnn.com/2023/10/23/entertainment/taylor-swift-cruel-summer/index.html
NBC News,Angela Yang,'Taylor Swift: The Eras Tour' is already the highest-grossing concert film in the U.S.,Taylor Swift can add box office record holder to her list of accolades.,Achievement,,https://www.nbcnews.com/pop-culture/movies/taylor-swift-movie-eras-tour-record-concert-film-top-grossing-rcna120825
CBC News,,"The 2024 Grammy nominations: Women dominate while Drake, Gosling pick up nods","The 2024 Grammy nominations were announced Friday morning, with SZA, Taylor Swift and the Barbie movie soundtrack leading the female-dominated pack.",Awards,,https://www.cbc.ca/news/entertainment/grammy-nominations-2024-1.7024901
CBS News,CBS News,Taylor Swift makes history with latest Grammy nods,"Taylor Swift became the first artist in Grammy history to be nominated seven times in the song of the year category when she was nominated Friday for her hit ""Anti-Hero."" Swift received a total of six nominations.",Awards,,https://www.cbsnews.com/video/taylor-swift-makes-history-with-latest-grammy-nods/
CBS News,CBS News,"SZA leads Grammy nominations, up for ""Album of the Year"" with Miley Cyrus, Taylor Swift and Janelle Monáe","The 66th Grammy Awards nominations have been announced and SZA tops the list with nods in nine categories. Joe Levy, a contributor editor for ""Rolling Stone,"" joins CBS News with a look at the artists nominated.",Awards,,https://www.cbsnews.com/video/sza-leads-grammy-noms-up-for-album-of-the-year-with-miley-cyrus-taylor-swift-and-janelle-mone/
CBS News,Paula Cohen,Grammy Awards announce 2024 nominations — here's the list,"The Grammy Awards air Sunday, Feb. 4, 2024, live on CBS and streaming on Paramount+",Awards,,https://www.cbsnews.com/news/grammy-nominations-2024-nominees-list/
CNN,Alli Rosenbloom,MTV cancels 2023 EMAs 'out of an abundance of caution' due to 'volatile' world events,"MTV's 2023 Europe Music Awards (EMAs), set to take place in Paris on November 5, are canceled as the conflict in the Middle East continues, according to a statement posted to the show's social media Thursday.",Awards,,https://www.cnn.com/2023/10/19/entertainment/mtv-emas-canceled/index.html
NBC News,Chloe Melas,Taylor Swift makes Grammy Awards history with most song of the year nominations,Taylor Swift made history when the nominations for 2024 Grammy Awards were announced on Friday. The music superstar became the first person to be nominated in the song of the year category seven times.,Awards,,https://www.nbcnews.com/news/us-news/taylor-swift-makes-grammy-awards-history-song-year-nominations-rcna124644
Time,Moises Mendez II,The Biggest Snubs and Surprises of the 2024 Grammy Nominations,"SZA, Taylor Swift, Victoria Monét, and Phoebe Bridgers are among the most nominated artists at the 2024 Grammy Awards.",Awards,,https://time.com/6333788/grammy-nominations-2024-sza-taylor-swift/
Business Insider,"Grace Kay,Taylor Rains",Elon Musk appears to have given up on trying to camouflage his private-jet travels with an FAA program used by Jeff Bezos and Taylor Swift,"Elon Musk had signed up for the FAA's PIA program that allows private jet owners to fly incognito, but he appears to have stopped using it for now.",Climate,,https://www.businessinsider.com/elon-musk-appears-no-longer-masking-private-jet-tracking-pia-2023-10
Breitbart News,"Warner Todd Huston, Warner Todd Huston","NFL Finally Dumps Taylor Swift from Social Media, Replaces Her with Vikings' Josh Dobbs","After a 42-day run, the NFL has finally removed images and tributes to pop star Taylor Swift as the features on its social media accounts.",Controversy,,https://www.breitbart.com/sports/2023/11/13/nfl-finally-dumps-taylor-swift-social-media-replaces-her-vikings-josh-dobbs/
Breitbart News,"Dylan Gwinn, Dylan Gwinn",'We Want More Football!!!': Rob Gronkowski Says Networks Overdoing Taylor Swift Coverage,Former Super Bowl champ Rob Gronkowski think that broadcast network's should focus less on Taylor Swift and more on the players on the field.,Controversy,,https://www.breitbart.com/sports/2023/10/26/we-want-more-football-rob-gronkowski-says-networks-overdoing-taylor-swift-coverage/
Breitbart News,"Warner Todd Huston, Warner Todd Huston",Taylor Swift Bodyguard Returns to Israel to Join IDF Unit's Fight Against Hamas,A member of pop mega star Taylor Swift's security team has left his job on the star's Eras Tour and returned to the Israeli Defense Force.,Controversy,,https://www.breitbart.com/entertainment/2023/10/16/taylor-swift-bodyguard-returns-to-israel-to-join-idf-units-fight-against-hamas/
NBC News,Kaetlyn Liddy,"Travis Kelce’s old tweets are resurfacing online, and some Swifties are here for it","Taylor Swift and Travis Kelce's viral public relationship has captivated the internet. Now, so have some of Kelce’s old tweets.",Controversy,,https://www.nbcnews.com/pop-culture/travis-kelce-old-tweets-go-viral-rcna125423
Newsweek,Sophie Lloyd,Republican Makes Bizarre Accusation Against Taylor Swift,"""I have heard from others that attended this last tour that you had some satanic nods in your show,"" said former Republican governor candidate Kandiss Taylor.",Controversy,,https://www.newsweek.com/republican-bizarre-accusation-taylor-swift-witchcraft-1836328
Newsweek,Sophie Lloyd,Taylor Swift Under Attack by MAGA Christians,"A self-proclaimed prophet and Donald Trump fan claims the pop star has been doing the devil's work, along with Pfizer and rumored boyfriend Travis Kelce.",Controversy,,https://www.newsweek.com/taylor-swift-under-attack-maga-christians-hank-kunneman-donald-trump-1841820
Newsweek,Sophie Lloyd,"Taylor Swift, Patrick Mahomes' Wife Photos Mocked",The pop star and her new friend have once again found themselves being targeted by cruel trolls online.,Controversy,,https://www.newsweek.com/taylor-swift-patrick-mahomes-wife-photos-mocked-brittany-mahomes-lyndsay-bell-paige-buechele-1841922
Newsweek,Tom Norton,Taylor Swift's Romance With Travis Kelce: What We Actually Know,Taylor Swift and Travis Kelce's blossoming romance has sparked a huge media storm.,Controversy,,https://www.newsweek.com/taylor-swift-travis-kelce-romance-rumors-mom-brother-relationship-1837336
