source,author,title,description,category1,coverage,url
ABC News,The Associated Press,"What to stream this week: '1989 (Taylor’s Version),' Emily Blunt and 'Five Nights at Freddy’s'","This week’s new entertainment releases include Taylor Swift's “1989 (Taylor’s Version),” a glossy look at opioid addiction with the movie “Pain Hustlers” starring Emily Blunt, Chris Evans and Andy Garcia, and the streaming horror flick “Five Nights at ...",Music ,,https://abcnews.go.com/Technology/wireStory/stream-week-1989-taylors-version-emily-blunt-nights-104214851
ABC News,MARIA SHERMAN AP music writer,"From country to pop, 2014 nostalgia to 2023 reality — it's time for Taylor Swift's '1989'","Taylor Swift’s reimagined “1989” is here, the album that ushered in the first Peak Swift era — revisited at the height of her massive pop culture dominance",Music ,,https://abcnews.go.com/Entertainment/wireStory/country-pop-2014-nostalgia-2023-reality-time-taylor-104414613
Bleacher Report,Julia Stumbaugh,"Video: Broncos Play Taylor Swift's 'Shake It Off' After Beating Travis Kelce, Chiefs",The Kansas City Chiefs need to shake off their 24-9 loss to the Denver Broncos Sunday. That's what the home team indicated with their postgame song choice.…,Music ,,https://bleacherreport.com/articles/10095337-video-broncos-play-taylor-swifts-shake-it-off-after-beating-travis-kelce-chiefs
Breitbart News,"Dylan Gwinn, Dylan Gwinn","VIDEO: Broncos Troll Chiefs, Travis Kelce by Playing Taylor Swift Music After Upset Win",The Broncos trolled the Chiefs by playing Taylor Swift music after their upset win over Kansas City on Sunday.,Music ,,https://www.breitbart.com/sports/2023/10/29/video-broncos-troll-chiefs-travis-kelce-by-playing-taylor-swift-music-after-upset-win/
Fortune,Chris Morris,Taylor Swift’s remake of '1989' outsold the original’s first-week numbers—and it's not even close,That’s the first time a remake has outsold the original.,Music ,,https://fortune.com/2023/11/06/taylor-swift-1989-taylors-version-outsells-original/
Fortune,Alicia Adamczyk,Taylor Swift’s latest master stroke is a blockbuster re-recording of her breakthrough pop album—and it could reshape the music industry as we know it,"The newest version of ""1989 TV,"" released at the end of October, sold 1.65 million copies in its first week. ""It's a career-defining moment.""",Music ,,https://fortune.com/2023/11/06/taylor-swift-1989-rerecording-album-music-industry-impact/
Fox News,Associated Press,"Taylor Swift releases reimagined '1989' album, reviving nostalgia during new era of career","Taylor Swift has released her reimagined ""1989"" album. The original album marked the beginning of her singing career's shift from country to pop and now is being revisited.",Music ,,https://www.foxnews.com/entertainment/taylor-swift-releases-reimagined-1989-album-reviving-nostalgia-during-new-era-of-career
NBC News,Kaetlyn Liddy,‘1989 (Taylor’s Version)’ is coming. Here’s what to know.,"‘1989 (Taylor’s Version)’ features vault tracks: “Now That We Don’t Talk,” “Suburban Legends,” “Say Don’t Go,” “Is It Over Now?” and “‘Slut!’”",Music ,,https://www.nbcnews.com/pop-culture/1989-taylors-version-what-to-know-rcna122332
Newsweek,Ryan Smith,Kellyanne Conway's Daughter Slams 'Clown' Marjorie Taylor Greene,Claudia Conway has criticized Greene after the Georgia Republican's bill to see Transportation Secretary Pete Buttigieg's salary slashed to $1.,Music ,,https://www.newsweek.com/kellyanne-conway-claudia-clown-marjorie-taylor-greene-pete-buttigieg-1841844
Time,Moises Mendez II,The Meaning Behind Taylor Swift’s 1989 Vault Track ‘Slut!’,"Taylor Swift boldly reclaims a word that's been hurled at her in 1989 (Taylor's Version), with ""Slut!""",Music ,,https://time.com/6329228/taylor-swift-1989-slut-song/
Time,"Samantha Cooney, Annabel Gutterman, Moises Mendez II and Rachel Sonis",A Ranking of Taylor Swift’s ‘From the Vault’ Songs,"With each re-recorded album, Taylor Swift has also released songs that almost made the cut. Here are our favorite 'From the Vault' tracks.",Music ,,https://time.com/6327597/taylor-swift-best-vault-songs/
Time,Rachel Sonis,Taylor Swift’s ‘All You Had To Do Was Stay’ Is Criminally Underrated,"It's time to reassess the track from Taylor Swift's 1989, which is set to be rereleased on Oct. 27.",Music ,,https://time.com/6328126/taylor-swift-1989-all-you-had-to-do-was-stay/
Time,Raisa Bruner,How 1989 Changed Taylor Swift’s Career Forever,"Taylor Swift is re-releasing the game-changing album '1989,' which cemented her place in the pop landscape nine years ago.",Music ,,https://time.com/6328790/taylor-swift-1989-2/
