source,author,title,description,category1,coverage,url
ABC News,NICHOLAS RICCARDI Associated Press,Court arguments begin in effort to bar Trump from presidential ballot under 'insurrection' clause,Court arguments are beginning in the effort to bar former President Donald Trump from running for his old job again,N,,https://abcnews.go.com/Politics/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469458
ABC News,NICHOLAS RICCARDI Associated Press,Court arguments begin in effort to bar Trump from presidential ballot under 'insurrection' clause,Court arguments are beginning in the effort to bar former President Donald Trump from running for his old job again,N,,https://abcnews.go.com/US/wireStory/court-arguments-begin-effort-bar-trump-presidential-ballot-104469456
Business Insider,ddefrancesco@businessinsider.com (Dan DeFrancesco),Insider Today: Tech workers are bummed,Tech workers aren't as happy in their jobs as they've been in years past. And it's not just due to the economy.,N,,https://www.businessinsider.com/news-today-october-17-tech-jobs-workers-unhappy-2023-9
Buzzfeed,Michaela Bramwell,These 80 Hilarious October Tweets Have Me FALLing On The Floor In A Fit Of Laughter,"It's officially spooky season, bed bugs are overrunning Paris, the National Emergency Alert came early, Kevin McCarthy got booted as Speaker of The House, Beyoncé and Taylor Swift joined forces, Pete Davidson became a Swiftie meme, these celebrity wax statues…",N,,https://www.buzzfeed.com/michaelabramwell/funny-tweets-from-october
Buzzfeed,Heather Braga,41 Pieces Of Clothing And Shoes For Anyone Who Has Been Wearing Black Long Before Wednesday Addams,Your closet will be dancing like Wednesday after you finish shopping this post.View Entire Post ›,N,,https://www.buzzfeed.com/hbraga/black-clothing-shoes
Buzzfeed,Jessica Hall,Treat Yourself To One Of These 36 Products That’ll Pretty Much Revolutionize Your Beauty Routine,"Once you try out this pen that has eyeliner, lip liner, brow pencil, *and* highlighter in one, you may never go back to your old stuff again.View Entire Post ›",N,,https://www.buzzfeed.com/jessicahall2/products-revolutionize-beauty-routine
Buzzfeed,Jessica Hall,Abracadabra: Here Are 38 Beauty Products That’ll Have You Wondering If A Magician Waved Their Wand Over Them,"The setting spray is so good you might involuntarily bust out singing, ""Oh, oh, oh it's magic."" View Entire Post ›",N,,https://www.buzzfeed.com/jessicahall2/beauty-products-so-good-they-seem-magical
Buzzfeed,Jessica Hall,These 34 Beauty Products Are So Amazing A Wizard Must’ve Cast A Spell On Each Of Them,You won't even need a fairy godmother to give you a ~magical~ makeover because these products have you covered.View Entire Post ›,N,,https://www.buzzfeed.com/jessicahall2/beauty-items-wizard-cast-spell-on-an
Buzzfeed,Abby Kass,"If You’re Always Running Late, Here Are 43 Products To Help You Get Back Some Time In Your Day",Including a sunrise alarm clock that will wake you up gradually so you don't have to hit snooze 15 times.View Entire Post ›,N,,https://www.buzzfeed.com/abbykass/products-help-save-time-running-late
Buzzfeed,Negesti Kaudo,Reviewers Swear By These 28 Makeup Products Under $25,"From setting spray to a top-rated brow pencil, get the most bang for your buck with these reviewer-loved makeup must-haves.View Entire Post ›",N,,https://www.buzzfeed.com/negestikaudo/makeup-products-under-25-reviewers-swear-by
Buzzfeed,Rachelle Yang,46 Beauty Products That Really And Truly Solve Problems,"We're human, we have problems — but these products will make them ( poof) ~disappear~.View Entire Post ›",N,,https://www.buzzfeed.com/rachelleyang1/beauty-products-that-solve-problems
CBC News,,Cornwall unveils winter housing plan in shadow of encampment resident's death,"An eastern Ontario city's plan to house homeless people this winter is being met with a mix of relief and regret, coming less than a week after a homeless woman died in a local encampment.",N,,https://www.cbc.ca/news/canada/ottawa/cornwall-homeless-encampment-winter-plan-transitional-housing-shelter-1.7023847
CBC News,,"Shiffrin turns page on busy off-season, begins pursuit of record-tying 6th overall World Cup title",Keeping up with Mikaela Shiffrin's off-season endeavours may be just as challenging as catching up to her in a ski race. She's constantly full speed ahead.,N,,https://www.cbc.ca/sports/olympics/winter/alpine-skiing/alpine-skiing-shiffrin-offseason-1.7010158
CBS News,,Court arguments on keeping Trump off ballot in Colorado begin,"A hearing on using the Constitution's ""insurrection"" clause to bar Donald Trump from running for president again  is underway in Colorado.",N,,https://www.cbsnews.com/news/trump-ballot-colorado-insurrection-clause/
Fox Sports,,Jerry Jones gives mixed signals on Cowboys' trade deadline approach,"Cowboys owner Jerry Jones said there will be a ""high bar"" to trade but indicated his team will be active ahead of the Oct. 31 deadline.",N,,https://www.foxsports.com/stories/nfl/jerry-jones-gives-mixed-signals-on-cowboys-trade-deadline-approach
Fox Sports,,Wrongful death suit filed against top NBA pick Brandon Miller,The mother of a woman killed near the University of Alabama in January has filed a wrongful death lawsuit in federal court against Charlotte Hornets rookie Brandon Miller and two other men.,N,,https://www.foxsports.com/stories/nba/wrongful-death-suit-filed-against-top-nba-pick-brandon-miller
Fox Sports,,"Cooper Kupp believes Rams ""can be dangerous,"" make a run with their talented rookies",Rams receiver Cooper Kupp sat down with Julian Edelman to discuss his belief in his team's capabilities to make a run this season.,N,,https://www.foxsports.com/stories/nfl/cooper-kupp-believes-rams-can-be-dangerous-make-a-run-with-their-talented-rookies
Fox Sports,,"Warriors' Andre Iguodala, a four-time NBA champion, retires after 19 years","Andre Iguodala, a four-time NBA champion with the Golden State Warriors, is retiring after a storied 19-year career.",N,,https://www.foxsports.com/stories/nba/warriors-andre-iguodala-a-four-time-nba-champion-retires-after-19-years
Fox Sports,,"Jay Glazer: Cardinals want to build around Kyler Murray, not trade him","NFL insider Jay Glazer joined David Helman to discuss Kyler Murray trade rumors on another segment of ""Ask Glazer"" on the ""NFL on FOX Pod""",N,,https://www.foxsports.com/stories/nfl/jay-glazer-cardinals-want-to-build-around-kyler-murray-not-trade-him
Fox Sports,Chris Fallica,FOX Super 6 NFL contest: Chris 'The Bear' Fallica's Week 9 picks,"The FOX Super 6 NFL contest has already given away $80,000. Will you be the next winner? If you need a little help, Chris ""The Bear"" Fallica has you covered with his picks.",N,,https://www.foxsports.com/stories/nfl/fox-super-6-nfl-contest-chris-the-bear-fallicas-week-9-picks
Fox Sports,Greg Auman,"Buccaneers are on a 3-game skid, but still have a lot to play for this season","Tampa Bay has lost three straight and fallen out of the NFC South lead, but the middle of the NFL is wide open, and playoff contention requires them to be good, not great.",N,,https://www.foxsports.com/stories/nfl/buccaneers-are-on-a-3-game-skid-but-still-have-a-lot-to-play-for-this-season
Fox Sports,Henry McKenna,"Buffalo Bills made a philosophical change with Josh Allen in win, but is it sustainable?","The Buffalo Bills got Josh Allen more involved in the running game. It gave them a spark, but is it sustainable?",N,,https://www.foxsports.com/stories/nfl/buffalo-bills-made-a-philosophical-change-with-josh-allen-in-win-but-is-it-sustainable
Fox Sports,,"NFL Week 7 live updates: Lions-Ravens, Bills-Patriots, more",Week 7 of the NFL season continues Sunday with 11 games taking place. Here are all of the top moments from Sunday's slate!,N,,https://www.foxsports.com/stories/nfl/nfl-week-7-live-updates
Fox Sports,,P.J. Locke saves Denver from another meltdown as Broncos beat Packers 19-17,The Broncos blew a 16-3 lead but ultimately ended a dubious streak in which they had lost 10 consecutive games when leading at halftime.,N,,https://www.foxsports.com/stories/nfl/p-j-locke-saves-denver-from-another-meltdown-as-broncos-beat-packers-19-17
Fox Sports,"Ben Arthur, Greg Auman",Panthers’ Bryce Young vs. Texans’ C.J. Stroud: What to expect in their first matchup,FOX Sports NFL reporters Ben Arthur and Greg Auman preview Sunday's matchup between No. 1 overall pick Bryce Young and No. 2 C.J. Stroud.,N,,https://www.foxsports.com/stories/nfl/panthers-bryce-young-vs-texans-c-j-stroud-what-to-expect-in-their-first-matchup
Fox Sports,Bucky Brooks,Trevor Lawrence to Trey Lance: Grading the 2021 quarterback class so far,"Former NFL scout Bucky Brooks checks in on the quarterback class of 2021, grading the five first-round picks on their performances so far.",N,,https://www.foxsports.com/stories/nfl/trevor-lawrence-to-trey-lance-grading-the-2021-quarterback-class-so-far
