source,author,title,description,category1,coverage,url
ABC News,JAKE COYLE AP film writer,"Swift bests Scorsese at box office, but 'Killers of the Flower Moon"" opens strongly","In a movie match-up almost as unlikely as “Barbie” and “Oppenheimer,” Martin Scorsese took on Taylor Swift in cinemas over the weekend",Performance,,https://abcnews.go.com/Entertainment/wireStory/swift-bests-scorsese-box-office-killers-flower-moon-104209104
ABC News,LINDSEY BAHR AP film writer,A muted box office weekend without ‘Dune: Part Two’,"Universal and Blumhouse's video game adaptation “Five Nights at Freddy's” topped the North American box office in its second weekend according to studio estimates Sunday, while “Taylor Swift: The Eras Tour” placed second",Performance,,https://abcnews.go.com/Entertainment/wireStory/muted-box-office-weekend-dune-part-104643495
ABC News,LINDSEY BAHR AP film writer,Video game adaptation ‘Five Nights at Freddy’s’ notches $130 million global debut,"Fans flocked to movie theaters across the country to see the scary video game adaptation “Five Nights at Freddy's” on the big screen, which made $78 million to top the North American box office",Performance,,https://abcnews.go.com/Entertainment/wireStory/video-game-adaptation-nights-freddys-notches-130-million-104461602
ABC News,JOCELYN NOVECK AP national writer,Movie Review: Nicolas Cage finds fame to be highly overrated in chillingly funny ‘Dream Scenario’,"Nicolas Cage, perhaps best known for his onscreen volatility, takes a fascinating swerve to play a mundane, schlubby, balding professor at nowhere famous in Kristoffer Borgli's “Dream Scenario.”",Performance,,https://abcnews.go.com/Entertainment/wireStory/movie-review-nicolas-cage-finds-fame-highly-overrated-104738290
Breitbart News,"John Nolte, John Nolte",Nolte: Taylor Swift’s Box Office Triumph Makes Hollywood Tremble,"Nolte -- ""Taylor Swift: The Eras Tour"" broke box office records last weekend and left-wing Hollywood didn’t make a dime.",Performance,,https://www.breitbart.com/entertainment/2023/10/19/nolte-taylor-swifts-box-office-triumph-makes-hollywood-tremble/
Breitbart News,"John Nolte, John Nolte",Nolte: Taylor Swift Humiliates Hollywood Again -- Trounces Leo’s ‘Flower Moon’,"Nolte: ""Taylor Swift: The Eras Tour"" grossed another $32 million, humiliating Leonardo Di Caprio’s ""Killers of the Flower Moon,"" which debuted to just $22 million.",Performance,,https://www.breitbart.com/entertainment/2023/10/21/nolte-taylor-swift-humiliates-hollywood-again-trounces-leos-flower-moon/
Breitbart News,"Alana Mastrangelo, Alana Mastrangelo",Rap Group Death Grips End Concert When Fans Won’t Stop Throwing Glow Sticks at Them,"The hip hop group Death Grips cut its performance in Fayetteville, Arkansas, last week after fans wouldn't stop throwing glow sticks at them.",Performance,,https://www.breitbart.com/entertainment/2023/10/21/rap-group-death-grips-end-concert-when-fans-wont-stop-throwing-glow-sticks-at-them/
Business Insider,Juliana Kaplan,"A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps",Taylor Swift's Eras Tour film was so loud it blew the sound system in one theater.,Performance,,https://www.businessinsider.com/taylor-swift-eras-tour-movie-movie-theater-worker-2023-10
Business Insider,Kai Xiang Teo,Nvidia boss Jensen Huang joked that Jackie Chan should play him in a movie,"""I'll do my own stunts, yeah. I'll do all my own typing,"" Nvidia CEO Jensen Huang joked.",Performance,,https://www.businessinsider.com/nvidia-jensen-huang-joked-jackie-chan-play-him-movie-2023-11
Business Insider,Madeline Berg,AMC's CEO thought he was texting naughty photos to a former ballerina fling. Then everything went haywire.,A monthslong blackmail attempt for hundreds of thousands of dollars targeted AMC's CEO Adam Aron. He stood his ground.,Performance,,https://www.businessinsider.com/extortion-blackmail-plot-against-amc-ceo-adam-aron-2023-10
