source,author,title,description,category1,coverage,url
Breitbart News,"Warner Todd Huston, Warner Todd Huston","NFL Finally Dumps Taylor Swift from Social Media, Replaces Her with Vikings' Josh Dobbs","After a 42-day run, the NFL has finally removed images and tributes to pop star Taylor Swift as the features on its social media accounts.",Public Perception,,https://www.breitbart.com/sports/2023/11/13/nfl-finally-dumps-taylor-swift-social-media-replaces-her-vikings-josh-dobbs/
Breitbart News,"Dylan Gwinn, Dylan Gwinn",'We Want More Football!!!': Rob Gronkowski Says Networks Overdoing Taylor Swift Coverage,Former Super Bowl champ Rob Gronkowski think that broadcast network's should focus less on Taylor Swift and more on the players on the field.,Public Perception,,https://www.breitbart.com/sports/2023/10/26/we-want-more-football-rob-gronkowski-says-networks-overdoing-taylor-swift-coverage/
Breitbart News,"Warner Todd Huston, Warner Todd Huston",Taylor Swift Bodyguard Returns to Israel to Join IDF Unit's Fight Against Hamas,A member of pop mega star Taylor Swift's security team has left his job on the star's Eras Tour and returned to the Israeli Defense Force.,Public Perception,,https://www.breitbart.com/entertainment/2023/10/16/taylor-swift-bodyguard-returns-to-israel-to-join-idf-units-fight-against-hamas/
Business Insider,"Grace Kay,Taylor Rains",Elon Musk appears to have given up on trying to camouflage his private-jet travels with an FAA program used by Jeff Bezos and Taylor Swift,"Elon Musk had signed up for the FAA's PIA program that allows private jet owners to fly incognito, but he appears to have stopped using it for now.",Public Perception,,https://www.businessinsider.com/elon-musk-appears-no-longer-masking-private-jet-tracking-pia-2023-10
Business Insider,mberg@insider.com (Madeline Berg),There's one thing Taylor Swift isn't talking about,Taylor Swift is a billionaire after her Eras Tour and movie boosted her 2023 net worth. The pop star's brand benefits from her downplaying her wealth.,Public Perception,,https://www.businessinsider.com/taylor-swift-billionaire-downplay-net-worth-brand-2023-11
Business Insider,Jordan Hart,"Gen Z's financial icons revealed: Taylor Swift beats Warren Buffett, and Bill Gates tops the list","Bill Gates, Beyoncé, and Oprah Winfrey made the list of people who embody financial success for Gen Z, according to a new survey of college students.",Public Perception,,https://www.businessinsider.com/taylor-swift-jeff-bezos-elon-musk-top-financial-icons-genz-2023-11
Business Insider,ktan@insider.com (Kwan Wei Kevin Tan),"Grimes says Taylor Swift could unite the US if she were president, even though it's 'probably exceptionally unadvisable'","Grimes later said in a post on X that a presidential run is ""probably exceptionally unadvisable"" for Swift's mental health.",Public Perception,,https://www.businessinsider.com/grimes-taylor-swift-presidential-candidate-could-unite-country-2023-10
Business Insider,jmcgrath@insider.com (Jenny McGrath),Naming a species after a celebrity may do more harm than good,Many species were named in honor of famous people and celebrities. But species names are difficult to change and may lead to nomenclatural regret.,Public Perception,,https://www.businessinsider.com/species-name-celebrity-awareness-regret-taxonomy-2023-11
Buzzfeed,Kristen Harris,"14 Celebs Who Have Literally Offered Their Homes, Money, And Other Resources To Other Celebs","When Taylor Swift first bought her NYC penthouse in 2014, her then-close friend Karlie Kloss stayed over often enough that she essentially had her own room. It had a basket of Karlie's favorite Whole Foods snacks and pictures of her on the wall.View Entire Po…",Public Perception,,https://www.buzzfeed.com/kristenharris1/celebs-helped-famous-friends
Buzzfeed,Mychal Thompson,"Here's What People Are Saying After Kelly Clarkson Responded To Claims She ""Bashed"" Taylor Swift And Travis Kelce","""Do not fall prey to clickbait, trash reporters twisting the facts again.""View Entire Post ›",Public Perception,,https://www.buzzfeed.com/mychalthompson/kelly-clarkson-taylor-swift-travis-kelce-response-reactions
