source,author,title,description,category1,coverage,url
ABC News,ABC News,WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert,Video shows the singer and Chiefs’ tight end embracing each other after her show.,Relationship,,https://abcnews.go.com/GMA/Culture/video/taylor-swift-travis-kelce-share-kiss-after-buenos-104833734
ABC News,DAVE SKRETTA AP sports writer,Chiefs' Travis Kelce has been taking his play to a new level with Taylor Swift in the house,Kansas City Chiefs tight end Travis Kelce has been taking his play to a new level whenever Taylor Swift is in the house,Relationship,,https://abcnews.go.com/Politics/wireStory/chiefs-travis-kelce-taking-play-new-level-taylor-104231453
ABC News,KEN MAGUIRE AP sports writer,Will Taylor Swift be at the Chiefs' game in Germany? Travis Kelce wouldn't say,Travis Kelce has declined to discuss Taylor Swift’s status for Sunday’s game in Germany — and their status as a couple,Relationship,,https://abcnews.go.com/Entertainment/wireStory/taylor-swift-chiefs-game-germany-travis-kelce-104613150
ABC News,The Associated Press,"There's been a Travis Kelce sighting at the World Series. No sign of Taylor Swift, though",There has been a Travis Kelce sighting at the World Series,Relationship,,https://abcnews.go.com/Entertainment/wireStory/travis-kelce-sighting-world-series-sign-taylor-swift-104442775
Bleacher Report,Mike Chiari,"Report: Taylor Swift, Travis Kelce 'Are All in' on Relationship amid Dating Rumors",Things are reportedly getting pretty serious between Kansas City Chiefs All-Pro tight end Travis Kelce and global music megastar Taylor Swift. According to…,Relationship,,https://bleacherreport.com/articles/10094089-report-taylor-swift-travis-kelce-are-all-in-on-relationship-amid-dating-rumors
Bleacher Report,Doric Sam,"Lakers' Austin Reaves, Taylor Swift Dating Rumor Started by Clippers Staffer","Before pop superstar Taylor Swift and Kansas City Chiefs tight end Travis Kelce were ever linked to one another, the singer/songwriter was rumored over the…",Relationship,,https://bleacherreport.com/articles/10093918-lakers-austin-reaves-taylor-swift-dating-rumor-started-by-clippers-staffer
Bleacher Report,Erin Walsh,"Report: Travis Kelce, Taylor Swift's Parents Expected to Meet at Eagles vs. Chiefs",Travis Kelce and Taylor Swift appear to be taking the next step in their relationship. The parents of the Chiefs tight end and world-renowned…,Relationship,,https://bleacherreport.com/articles/10097500-report-travis-kelce-taylor-swifts-parents-expected-to-meet-at-eagles-vs-chiefs
Bleacher Report,Joseph Zucker,"TMZ: Travis Kelce, Taylor Swift Dating 'Overwhelming' for Jason, Mom Donna and Family","Kansas City Chiefs tight end Travis Kelce's relationship with Taylor Swift has been an adjustment for the entire Kelce family, according to TMZ Sports.…",Relationship,,https://bleacherreport.com/articles/10095508-tmz-travis-kelce-taylor-swift-dating-overwhelming-for-jason-mom-donna-and-family
Bleacher Report,Erin Walsh,Chiefs' Travis Kelce: 'I Blacked Out' During 'SNL' Appearance Featuring Taylor Swift,"Travis Kelce made his Saturday Night Live debut in March, and the Kansas City Chiefs tight end returned to the set of the esteemed comedy show this past…",Relationship,,https://bleacherreport.com/articles/10093880-chiefs-travis-kelce-i-blacked-out-during-snl-appearance-featuring-taylor-swift
Bleacher Report,Erin Walsh,Report: Travis Kelce to Visit Taylor Swift in Argentina amid Chiefs' Bye Week,"Travis Kelce is reportedly traveling to Argentina during the Kansas City Chiefs' bye week, and for good reason. Kelce will be traveling to the South American…",Relationship,,https://bleacherreport.com/articles/10096698-report-travis-kelce-to-visit-taylor-swift-in-argentina-amid-chiefs-bye-week
Bleacher Report,Timothy Rapp,"Rob Gronkowski Invites Chiefs' Travis Kelce, Taylor Swift to His NFL Super Bowl Party",Rob Gronkowski wants to party with the Kelce brothers and Taylor Swift at his Super Bowl party this year. Assuming neither Kansas City Chiefs tight end Travis…,Relationship,,https://bleacherreport.com/articles/10093556-rob-gronkowski-invites-chiefs-travis-kelce-taylor-swift-to-his-nfl-super-bowl-party
Bleacher Report,Adam Wells,"TMZ: Taylor Swift Won't Attend Travis Kelce, Chiefs' Game vs. Broncos in Week 8","Travis Kelce will be left to his own devices when the Kansas City Chiefs play the Denver Broncos on Sunday. Per TMZ Sports, Taylor Swift won't be attending…",Relationship,,https://bleacherreport.com/articles/10095141-tmz-taylor-swift-wont-attend-travis-kelce-chiefs-game-vs-broncos-in-week-8
Bleacher Report,Joseph Zucker,"Chiefs' Travis Kelce Will Have Feature on Jason Kelce, Eagles' 2nd Christmas Album",Travis Kelce starts dating Taylor Swift and all of a sudden the Kansas City Chiefs star embarks on a musical career. Travis and brother Jason announced…,Relationship,,https://bleacherreport.com/articles/10094798-chiefs-travis-kelce-will-have-feature-on-jason-kelce-eagles-2nd-christmas-album
Bleacher Report,Joseph Zucker,"Jason Kelce Says Travis, Taylor Swift Dating Reached a 'Weird' Level Due to Paparazzi","Kansas City Chiefs tight end Travis Kelce had already gained a level of fame before getting linked romantically with Taylor Swift. His brother, Jason,…",Relationship,,https://bleacherreport.com/articles/10094477-jason-kelce-says-travis-taylor-swift-dating-reached-a-weird-level-due-to-paparazzi
Bleacher Report,Scott Polacek,Video: Chiefs' Travis Kelce Reacts to Viral Taylor Swift Halloween TikTok Costume,Travis Kelce appreciates the jokes. The Kansas City Chiefs tight end reacted to a TikTok from JaxWritesSongs that played on the prank of Taylor Swift fans…,Relationship,,https://bleacherreport.com/articles/10095687-video-chiefs-travis-kelce-reacts-to-viral-taylor-swift-halloween-tiktok-costume
Bleacher Report,Doric Sam,Video: Chiefs' Travis Kelce Reveals Reaction to Taylor Swift's 'Karma' Lyric Change,Kansas City Chiefs star tight end Travis Kelce's romance with pop superstar Taylor Swift has progressed to the point where she's referencing him while…,Relationship,,https://bleacherreport.com/articles/10097428-video-chiefs-travis-kelce-reveals-reaction-to-taylor-swifts-karma-lyric-change
Bleacher Report,Jack Murray,"Video: Travis Kelce, Taylor Swift Embrace at Eras Tour; 'Karma' Lyrics Changed for TE","It appears that the support between Kansas City Chiefs tight end Travis Kelce and superstar singer-songwriter Taylor Swift is a two-way street. Kelce, who is…",Relationship,,https://bleacherreport.com/articles/10096997-video-travis-kelce-taylor-swift-embrace-at-eras-tour-karma-lyrics-changed-for-te
Bleacher Report,Adam Wells,Chiefs' Travis Kelce Addresses Viral Taylor Swift Stat Graphic from Chargers Game,Kansas City Chiefs star Travis Kelce is well aware of the difference in his performance this season when Taylor Swift is at his games as opposed to when she's…,Relationship,,https://bleacherreport.com/articles/10094796-chiefs-travis-kelce-addresses-viral-taylor-swift-stat-graphic-from-chargers-game
Bleacher Report,Jack Murray,TMZ: Chiefs' Travis Kelce Buys $5M Kansas City Mansion Amid Taylor Swift Relationship,"Kansas City Chiefs tight end Travis Kelce is reportedly upgrading his living situation. The eight-time Pro Bowler bought a new mansion in Kansas City, per…",Relationship,,https://bleacherreport.com/articles/10094003-tmz-chiefs-travis-kelce-buys-5m-kansas-city-mansion-amid-taylor-swift-relationship
Bleacher Report,Jack Murray,TMZ: Chiefs' Travis Kelce Buys $6M Kansas City Mansion Amid Taylor Swift Relationship,"Kansas City Chiefs tight end Travis Kelce is reportedly upgrading his living situation. The eight-time Pro Bowler bought a new mansion in Kansas City, per…",Relationship,,https://bleacherreport.com/articles/10094003-tmz-chiefs-travis-kelce-buys-6m-kansas-city-mansion-amid-taylor-swift-relationship
Bleacher Report,Julia Stumbaugh,"Video: Taylor Swift, Brittany Mahomes Celebrate With Handshake at Chargers vs. Chiefs",Kansas City Chiefs wide receiver Marquez Valdes-Scantling wasn't the only one excited to see Patrick Mahomes throw his first deep touchdown pass of the season…,Relationship,,https://bleacherreport.com/articles/10094423-video-taylor-swift-brittany-mahomes-celebrate-with-handshake-at-chargers-vs-chiefs
Bleacher Report,Francisco Rosa,Kristin Cavallari Clarifies Telling Chiefs' Travis Kelce She Was 'In Love' With Him,Kristin Cavallari isn't trying to get on the wrong side of the Swifties. The TV personality and fashion designer cleared up some rumors about her romantic…,Relationship,,https://bleacherreport.com/articles/10093991-kristin-cavallari-clarifies-telling-chiefs-travis-kelce-she-was-in-love-with-him
Bleacher Report,Adam Wells,"Listen: Eagles' Jordan Mailata, Jason Kelce Cover 'All I Want for Christmas Is You'","Mariah Carey is going to have some competition for the best rendition of ""All I Want for Christmas Is You"" this holiday season. Jordan Mailata, Jason Kelce…",Relationship,,https://bleacherreport.com/articles/10095939-listen-eagles-jordan-mailata-jason-kelce-cover-all-i-want-for-christmas-is-you
Bleacher Report,Paul Kasabian,Eagles' Jason Kelce to Feature in People Magazine's 2023 'Sexiest Man Alive' Edition,"Philadelphia Eagles center Jason Kelce will be featured in People magazine's upcoming Sexiest Man Alive issue. People revealed six men, including Kelce, who…",Relationship,,https://bleacherreport.com/articles/10096518-eagles-jason-kelce-to-feature-in-people-magazines-2023-sexiest-man-alive-edition
Breitbart News,"Lara Gwinn, Lara Gwinn",Travis Kelce Said 'I'm Gonna Find a Breeder' Months Before Dating Taylor Swift,"""Mr. Taylor Swift"" Travis Kelce of the Kansas City Chiefs made headlines Saturday after an unearthed podcast revealed the tight end saying he was looking for a ""breeder"" to ""get kids"" just months before he started dating the singer.",Relationship,,https://www.breitbart.com/sports/2023/11/04/travis-kelce-said-looking-breeder-just-before-dating-taylor-swift/
Buzzfeed,Matt Stopera,"Travis Kelce's Old Tweets Are Going Viral, And It's Making Everyone Like Him 1,000 Times More","This is the next-level himbo Ken energy, and I love it.View Entire Post ›",Relationship,,https://www.buzzfeed.com/mjs538/travis-kelces-old-tweets
Buzzfeed,Mychal Thompson,"A Reporter Asked Travis Kelce The Status Of His Relationship With Taylor Swift, And Fans Love His Response",Travis is keeping his cards close to his chest.View Entire Post ›,Relationship,,https://www.buzzfeed.com/mychalthompson/travis-kelce-taylor-swift-love-question-reactions
Buzzfeed,Matt Stopera,"Taylor Swift Went Out With A Large Group Of Famous Girlfriends, And It's Just Looking Worse And Worse For Joe Jonas",I imagine them doing some sort of Hocus Pocus hexing spell while eating the biggest ball of burrata you've ever seen.View Entire Post ›,Relationship,,https://www.buzzfeed.com/mjs538/taylor-swift-girls-night
CBS News,"Gina Martinez, Alex Sundby",Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce,This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.,Relationship,,https://www.cbsnews.com/news/taylor-swift-back-at-arrowhead-stadium-cheering-kansas-city-chiefs-travis-kelce/
CBS News,"Meredith Gordon, Fox Van Allen",How to watch every Kansas City Chiefs game this season,We've got all the information you need to watch every Chiefs game this season (even the one that isn't on network TV).,Relationship,,https://www.cbsnews.com/essentials/how-to-watch-every-kansas-city-chiefs-game-season/
CNN,Lisa Respers France,Travis Kelce spills on his NYC weekend with Taylor Swift,At least we can now definitely say Travis Kelce has been going out on dates with Taylor Swift.,Relationship,,https://www.cnn.com/2023/10/19/entertainment/travis-kelce-taylor-swift-weekend/index.html
CNN,Lisa Respers France,Taylor Swift kissing Travis Kelce is the latest thing to have Swifties excited,A photo showing Taylor Swift sweetly kissing Travis Kelce has caused some excitement among her die hard fan base.,Relationship,,https://www.cnn.com/2023/10/24/entertainment/taylor-swift-kissing-travis-kelce/index.html
CNN,Lisa Respers France,Kristin Cavallari wasn't 'shooting her shot' at Travis Kelce,Kristin Cavallari wants to clear something up about Travis Kelce.,Relationship,,https://www.cnn.com/2023/10/18/entertainment/kristin-cavallari-travis-kelce/index.html
CNN,Alli Rosenbloom,Nate Bargatze to make 'SNL' hosting debut with musical guest Foo Fighters,"Comedian Nate Bargatze is set to take the ""Saturday Night Live"" stage on October 28 in his hosting debut, the long-running sketch show announced on Tuesday. The Foo Fighters will serve as the episode's musical guest.",Relationship,,https://www.cnn.com/2023/10/17/entertainment/nate-bargatze-foo-fighters-snl/index.html
Fox News,Maeghan Dolph,A timeline of Taylor Swift and Travis Kelce's budding romance,"A timeline of the speculated romantic link between Taylor Swift and Kansas City Chiefs football player Travis Kelce, beginning in July when Kelce attended a Swift concert.",Relationship,,https://www.foxnews.com/entertainment/timeline-taylor-swift-travis-kelces-romance
Fox News,Tracy Wright,Taylor Swift feels 'protected and cherished' by 'true gentleman' Travis Kelce: expert,"Taylor Swift and Travis Kelce have a ""strong love connection"" after showing public displays of affection on date nights in New York, according to body language expert.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-feels-protected-cherished-by-true-gentleman-travis-kelce-expert
Fox News,Elizabeth Stanton,Taylor Swift supports Travis Kelce with rare social media move,"Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-supports-travis-kelce-rare-social-media-move
Fox News,Lauryn Overhultz,Taylor Swift kisses Travis Kelce following Kansas City Chiefs game,Taylor Swift and Travis Kelce's romance heats up as a new photo of the pop star kissing the NFL tight end's cheek surfaced after she attended Sunday's Kansas City Chiefs game.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-kisses-travis-kelce-following-kansas-city-chiefs-game
Fox News,Tracy Wright,"Taylor Swift, Travis Kelce break NFL WAG curse: Jessica Simpson, Carrie Underwood once blamed for losses",Taylor Swift and Travis Kelce's new relationship fills the blank space that the NFL needs to recover from the alleged curse when Hollywood stars date football players.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-break-nfl-wag-curse-jessica-simpson-carrie-underwood-once-blamed-losses
Fox News,Paulina Dedaj,Eagles' Jason Kelce expresses concern for brother Travis Kelce amid budding romance with Taylor Swift,"Jason Kelce is ""happy"" for brother Travis Kelce amid his budding romance with pop sensation Taylor Swift, but he does have one possible concern.",Relationship,,https://www.foxnews.com/sports/eagles-jason-kelce-expresses-concern-brother-travis-kelce-budding-romance-taylor-swift
