source,author,title,description,category1,coverage,url
Newsweek,Thomas Westerholm,Travis Kelce's Mom Reassures Chiefs Fans With Concerns About Taylor Swift,"Donna Kelce believes the Chiefs star has ""a fire within him to prove everyone wrong"" that will help him handle this season.",Sports,,https://www.newsweek.com/travis-kelce-mom-reassures-chiefs-fans-concerns-about-taylor-swift-1840724
Newsweek,Joe Kozlowski,"Josh Dobbs Isn't a Just Viral Story, He's a Valuable Lesson for Sports Fans","While the Vikings quarterback has become the talk of the NFL over the past couple of weeks, he's more than just a feel-good story.",Sports,,https://www.newsweek.com/josh-dobbs-isnt-just-viral-story-valuable-lesson-1843269
Newsweek,Joe Kozlowski,The KC Chiefs Have a Ready-Made Insurance Policy for Nick Bolton's Injury,"While seeing starting linebacker Nick Bolton go down injured isn't ideal, the Kansas City Chiefs are well positioned to cope with his absence.",Sports,,https://www.newsweek.com/kc-chiefs-have-ready-made-insurance-policy-nick-bolton-injury-drue-tranquill-1836895
USA Today,Charles Curtis,Will Taylor Swift keep going to Travis Kelce's games? Let's look at their schedules,Let's look at the Eras Tour schedule and the Chiefs' slate of games to see if we'll see more Swift at his games.,Sports,,https://ftw.usatoday.com/lists/taylor-swift-travis-kelce-schedules-chiefs-eras-tour
USA Today,Andrew Joseph,CBS actually broke out a hilarious graphic about Travis Kelce's stats with Taylor Swift in attendance,Incredible work. No notes.,Sports,,https://ftw.usatoday.com/lists/taylor-swift-travis-kelce-cbs-tv-graphic-stats-video-reaction-fans-attendance
USA Today,Charles Curtis,Travis Kelce knows his stats are better when Taylor Swift attends his games,"""How could I not be aware of this?""",Sports,,https://ftw.usatoday.com/2023/10/travis-kelce-taylor-swift-stats-podcast-jason-new-heights
USA Today,Charles Curtis,"Why Travis Kelce and the Chiefs are playing in Germany in Week 9, explained",Here's the answer.,Sports,,https://ftw.usatoday.com/2023/11/why-travis-kelce-germany-chiefs-game-dolphins-explained-taylor-swift
USA Today,Mike D. Sykes,The Eagles' Tush Push doesn't need to be banned. Other teams just need to stop it,Don't ban the tush push. Just get a stop.,Sports,,https://ftw.usatoday.com/2023/10/eagles-tush-push-play-rules-banned-no
USA Today,Robert Zeglinski,NFL Week 8 Awards: Brock Purdy is showing his haters they were all absolutely right,Brock Purdy's critics were correct. He's a system player AND he stinks.,Sports,,https://ftw.usatoday.com/lists/nfl-week-8-awards-brock-purdy-critics-right-49ers-bengals
USA Today,Ben Fawkes,"5 wildest NFL betting moments (so far) this season, including Patrick Mahomes' slide",There have been plenty of bad beats so far this NFL season.,Sports,,https://ftw.usatoday.com/lists/5-wildest-nfl-betting-moments-so-far-2023
